digest	verdict	path	sentence
0947b5cd562d	OK	.planning/ROADMAP.md	Read an empty `{}` as "every symbol this run had news about came back clean AND the disk held no other carried-forward entry" -- and read it in one direction only, because a NON-empty manifest likewise does not imply the preceding run failed: on a busy store most entries are folded back rather than re-observed.
1accfe56b526	OK	.planning/ROADMAP.md	`_run` merges into `manifest = dict(failures)`, a COPY, and hands the run's own untouched `failures` to the result object (REVIEW CR-01, `c0e392f`), so the result and the file on disk are two INDEPENDENT values.
5513e4edfecd	OK	.planning/ROADMAP.md	The operator protection this phase pins is asserted by the two tests that can fail on CONTENTS: `tests/test_acquisition_progress.py::test_the_manifest_survives_a_quota_abort_on_the_default_path` (after a quota abort on the DEFAULT path the previous run's entries are still in the manifest, read back from disk) and `::test_a_disjoint_rerun_does_not_inherit_earlier_failures` (a run over a roster disjoint from an earlier failing one is not inflated by that other roster's entries).
709c40cfc2dc	OK	.planning/ROADMAP.md	the set above is what `read_failure_manifest()`'s call sites under `quantlab/` were enumerated to be when this was written, not a count carried forward.) The file is a DURABLE CROSS-RUN record, not a per-run artifact: plan 03.4-08 made the pre-write merge unconditional and lifted it out of the resume loop to sit immediately before the write, so all five exit paths are covered BY CONSTRUCTION rather than audited one at a time.
dd6a792f0ef8	OK	.planning/ROADMAP.md	- [ ] 03.4-10-PLAN.md — GAP (D-18, 4th recurrence): five sites still state the retired "last run" semantics — the docstring SUMMARY LINES of both manifest readers (`CoverageLedger.read_failure_manifest`, `SourceInspector.failures`), the `example/registry.md` API table, and two lighter wordings in `quantlab/base/acquisition.py` / `tests/test_tiingo_quota.py`.
0f788e003b46	OK	.planning/STATE.md	Merging keeps failures a cancelled run genuinely discovered AND preserves the previous run's un-retried ones, which is what makes the on-disk manifest a DURABLE CROSS-RUN record -- "every symbol currently known to be failing" -- rather than a per-run artifact.
0b5e61de9f81	OK	example/acquisition.md	**`_failures.json` 是跨 run 累积的运维记录，每次 run 覆盖重写。
58cd22531f49	OK	example/acquisition.md	中止且 wait_for_quota → │ │ _sleep(quota_wait_seconds) 后重来 │ └───────────────┬───────────────────────────────┘ ▼ ⑤ （无条件，覆盖每一条退出路径）_merge_unattempted_failures() ← 把盘上本轮从没轮到的条目折回来 ⑥ _write_failure_manifest() → _failures.json（原子写） ⑦ 组装 AcquisitionResult 并挂到 last_result 上，供 registry.run() 返回给调用方（requested / succeeded / failures / cancelled / quota_aborted / coverage）
c58090b5e229	OK	example/acquisition.md	这两个东西回答 的是两个不同的问题：`_failures.json` = 「跨 run 累积、当前已知仍在失败的全部符号」， `result.failures` = 「**本轮**发现了什么」。
d60ce49efd4a	OK	example/acquisition.md	真正保护运维的是清单**内容**的存活：默认路径 上配额中止之后，上一轮的条目仍然在文件里，由 `tests/test_acquisition_progress.py` 把文件从盘上读回来断言（`manifest_survives_a_quota_abort` 与 `disjoint_rerun_does_not_inherit_earlier_failures`）。
